Basin,Year,net_area_km2,net_area_unc_km2,extinction_year_est
Maria,2005,1.3141724206970429,0.0,2121.305858308301
Maria,2006,1.5150405721320972,0.0,2121.305858308301
Maria,2007,1.2733419092634697,0.0,2121.305858308301
Maria,2008,1.2967324322177232,0.0,2121.305858308301
Maria,2009,1.3201229551719764,0.0,2121.305858308301
Maria,2010,1.34351347812623,0.0,2121.305858308301
Maria,2011,1.307897357627312,0.0,2121.305858308301
Maria,2012,1.2701020145008663,0.0,2121.305858308301
Maria,2013,1.2323066713744206,0.0,2121.305858308301
Maria,2014,1.1959531966054824,0.0,2121.305858308301
Maria,2015,1.2239430972905885,0.0,2121.305858308301
Maria,2016,1.1712550097832155,0.0,2121.305858308301
Maria,2017,1.1533336655380184,0.0,2121.305858308301
Maria,2018,1.130711535009064,0.0,2121.305858308301
Maria,2019,1.138521908258573,0.0,2121.305858308301
Maria,2020,1.1546989881403835,0.0,2121.305858308301
Maria,2021,1.1303992689331177,0.0,2121.305858308301
Maria,2022,1.0917645548226311,0.0,2121.305858308301
Maria,2023,1.0573724515214733,0.0,2121.305858308301
Maria,2024,1.0704288557011576,0.0,2121.305858308301
Pichoy,1959,0.4937296716139483,0.0,2066.908116124117
Pichoy,1960,13.788870525086294,0.0,2066.908116124117
Pichoy,1985,9.71113685698483,0.0,2066.908116124117
Pichoy,1986,9.625811580890977,0.0,2066.908116124117
Pichoy,1987,9.51369529331688,0.0,2066.908116124117
Pichoy,1988,9.344948541530764,0.0,2066.908116124117
Pichoy,1989,9.176201789744647,0.0,2066.908116124117
Pichoy,1990,9.00745503795853,0.0,2066.908116124117
Pichoy,1991,8.838708286172414,0.0,2066.908116124117
Pichoy,1992,8.669961534386296,0.0,2066.908116124117
Pichoy,1993,8.50121478260018,0.0,2066.908116124117
Pichoy,1994,8.332468030814063,0.0,2066.908116124117
Pichoy,1995,8.163721279027946,0.0,2066.908116124117
Pichoy,1996,7.994974527241829,0.0,2066.908116124117
Pichoy,1997,7.826227775455712,0.0,2066.908116124117
Pichoy,1998,7.657481023669596,0.0,2066.908116124117
Pichoy,1999,7.488734271883478,0.0,2066.908116124117
Pichoy,2000,7.433891577610623,0.0,2066.908116124117
Pichoy,2001,8.168948760442342,0.0,2066.908116124117
Pichoy,2002,8.731533586212715,0.0,2066.908116124117
Pichoy,2003,8.946322915098971,0.0,2066.908116124117
Pichoy,2004,8.665212681640558,0.0,2066.908116124117
Pichoy,2005,6.699238874915686,0.0,2066.908116124117
Pichoy,2006,8.856299353586385,0.0,2066.908116124117
Pichoy,2007,6.885339739905982,0.0,2066.908116124117
Pichoy,2008,7.004780402747312,0.0,2066.908116124117
Pichoy,2009,7.124221065588642,0.0,2066.908116124117
Pichoy,2010,7.243661728429973,0.0,2066.908116124117
Pichoy,2011,6.895472337279359,0.0,2066.908116124117
Pichoy,2012,6.530012517998393,0.0,2066.908116124117
Pichoy,2013,6.164552698717427,0.0,2066.908116124117
Pichoy,2014,5.805653129185775,0.0,2066.908116124117
Pichoy,2015,5.73950470471853,0.0,2066.908116124117
Pichoy,2016,5.877285461182101,0.0,2066.908116124117
Pichoy,2017,5.6892805956393895,0.0,2066.908116124117
Pichoy,2018,5.631452489623579,0.0,2066.908116124117
Pichoy,2019,5.566269960694308,0.0,2066.908116124117
Pichoy,2020,5.400892387847648,0.0,2066.908116124117
Pichoy,2021,5.445312724309584,0.0,2066.908116124117
Pichoy,2022,5.077419360890918,0.0,2066.908116124117
Pichoy,2023,5.197691447683851,0.0,2066.908116124117
Pichoy,2024,5.470076049884287,0.0,2066.908116124117
Punucapa,1959,0.1765821980062161,0.0,2078.228059858053
Punucapa,1960,4.220203531185518,0.0,2078.228059858053
Punucapa,1985,2.720315866024709,0.0,2078.228059858053
Punucapa,1986,2.579015982379959,0.0,2078.228059858053
Punucapa,1987,2.4676918595857065,0.0,2078.228059858053
Punucapa,1988,2.465131060525494,0.0,2078.228059858053
Punucapa,1989,2.462570261465282,0.0,2078.228059858053
Punucapa,1990,2.460009462405069,0.0,2078.228059858053
Punucapa,1991,2.4574486633448567,0.0,2078.228059858053
Punucapa,1992,2.454887864284644,0.0,2078.228059858053
Punucapa,1993,2.452327065224432,0.0,2078.228059858053
Punucapa,1994,2.449766266164219,0.0,2078.228059858053
Punucapa,1995,2.447205467104007,0.0,2078.228059858053
Punucapa,1996,2.4446446680437943,0.0,2078.228059858053
Punucapa,1997,2.4420838689835818,0.0,2078.228059858053
Punucapa,1998,2.439523069923369,0.0,2078.228059858053
Punucapa,1999,2.4369622708631566,0.0,2078.228059858053
Punucapa,2000,2.447262912547363,0.0,2078.228059858053
Punucapa,2001,2.5467548498289267,0.0,2078.228059858053
Punucapa,2002,2.6094133064605813,0.0,2078.228059858053
Punucapa,2003,2.5977959839304186,0.0,2078.228059858053
Punucapa,2004,2.546976090913268,0.0,2078.228059858053
Punucapa,2005,2.362961922265705,0.0,2078.228059858053
Punucapa,2006,2.5248195731780965,0.0,2078.228059858053
Punucapa,2007,2.3284665586582305,0.0,2078.228059858053
Punucapa,2008,2.292830686541307,0.0,2078.228059858053
Punucapa,2009,2.257194814424383,0.0,2078.228059858053
Punucapa,2010,2.2215589423074595,0.0,2078.228059858053
Punucapa,2011,2.1866870998123185,0.0,2078.228059858053
Punucapa,2012,2.151843474320254,0.0,2078.228059858053
Punucapa,2013,2.1169998488281903,0.0,2078.228059858053
Punucapa,2014,2.083706834494123,0.0,2078.228059858053
Punucapa,2015,2.119609843085947,0.0,2078.228059858053
Punucapa,2016,2.0206149455545983,0.0,2078.228059858053
Punucapa,2017,1.7339986770404128,0.0,2078.228059858053
Punucapa,2018,1.7976201057555563,0.0,2078.228059858053
Punucapa,2019,1.916067082249092,0.0,2078.228059858053
Punucapa,2020,1.951641786680074,0.0,2078.228059858053
Punucapa,2021,1.4701453856596316,0.0,2078.228059858053
Punucapa,2022,1.1168247312445625,0.0,2078.228059858053
Punucapa,2023,1.6562314641843752,0.0,2078.228059858053
Punucapa,2024,1.5585453194455186,0.0,2078.228059858053
TOTAL,1959,12.390734129381125,0.0,2084.681677470829
TOTAL,1960,110.73631375887848,0.0,2084.681677470829
TOTAL,1985,94.43458251457103,0.0,2084.681677470829
TOTAL,1986,92.33490133978847,0.0,2084.681677470829
TOTAL,1987,90.53598713734075,0.0,2084.681677470829
TOTAL,1988,89.9591295360683,0.0,2084.681677470829
TOTAL,1989,89.38227193479582,0.0,2084.681677470829
TOTAL,1990,88.80541433352334,0.0,2084.681677470829
TOTAL,1991,88.22855673225087,0.0,2084.681677470829
TOTAL,1992,87.6516991309784,0.0,2084.681677470829
TOTAL,1993,87.07484152970592,0.0,2084.681677470829
TOTAL,1994,86.49798392843344,0.0,2084.681677470829
TOTAL,1995,85.92112632716098,0.0,2084.681677470829
TOTAL,1996,85.3442687258885,0.0,2084.681677470829
TOTAL,1997,84.76741112461602,0.0,2084.681677470829
TOTAL,1998,84.19055352334355,0.0,2084.681677470829
TOTAL,1999,83.61369592207107,0.0,2084.681677470829
TOTAL,2000,83.30920120133277,0.0,2084.681677470829
TOTAL,2001,84.89348384778125,0.0,2084.681677470829
TOTAL,2002,86.020852942855,0.0,2084.681677470829
TOTAL,2003,86.22684264507372,0.0,2084.681677470829
TOTAL,2004,85.11699859899096,0.0,2084.681677470829
TOTAL,2005,79.5364904924167,0.0,2084.681677470829
TOTAL,2006,85.75259434688337,0.0,2084.681677470829
TOTAL,2007,79.0201983488587,0.0,2084.681677470829
TOTAL,2008,79.57081172327598,0.0,2084.681677470829
TOTAL,2009,80.12142509769326,0.0,2084.681677470829
TOTAL,2010,80.67203847211054,0.0,2084.681677470829
TOTAL,2011,77.9963691357812,0.0,2084.681677470829
TOTAL,2012,75.20154731297563,0.0,2084.681677470829
TOTAL,2013,72.40672549017007,0.0,2084.681677470829
TOTAL,2014,69.70050538064703,0.0,2084.681677470829
TOTAL,2015,70.94813672637312,0.0,2084.681677470829
TOTAL,2016,69.63443646086779,0.0,2084.681677470829
TOTAL,2017,67.29250148165508,0.0,2084.681677470829
TOTAL,2018,66.2215099767058,0.0,2084.681677470829
TOTAL,2019,65.49931675036296,0.0,2084.681677470829
TOTAL,2020,66.36077130111575,0.0,2084.681677470829
TOTAL,2021,61.71457563957856,0.0,2084.681677470829
TOTAL,2022,56.022383824002524,0.0,2084.681677470829
TOTAL,2023,62.78334673155032,0.0,2084.681677470829
TOTAL,2024,61.51715722977647,0.0,2084.681677470829
Tambillo,1959,0.1877402799975744,0.0,2071.256590069569
Tambillo,1960,3.7579382572719,0.0,2071.256590069569
Tambillo,1985,1.479060475299426,0.0,2071.256590069569
Tambillo,1986,1.4488562074196425,0.0,2071.256590069569
Tambillo,1987,1.4219458617051632,0.0,2071.256590069569
Tambillo,1988,1.4098015307119929,0.0,2071.256590069569
